"","GISJOIN2","ZIP_4","ZIP","Zip_short","State","GISJOIN","FIPS","ADI_NATRANK","ADI_STATERANK","TYPE","ATLAS_EPA_GIS_MATCH","OBJECTID","GEOID10","GEOID20","STATEFP","COUNTYFP","TRACTCE","BLKGRPCE","CSA","CSA_Name","CBSA","CBSA_Name","CBSA_POP","CBSA_EMP","CBSA_WRK","Ac_Total","Ac_Water","Ac_Land","Ac_Unpr","TotPop","CountHU","HH","P_WrkAge","AutoOwn0","Pct_AO0","AutoOwn1","Pct_AO1","AutoOwn2p","Pct_AO2p","Workers","R_LowWageWk","R_MedWageWk","R_HiWageWk","R_PCTLOWWAGE","TotEmp","E5_Ret","E5_Off","E5_Ind","E5_Svc","E5_Ent","E8_Ret","E8_off","E8_Ind","E8_Svc","E8_Ent","E8_Ed","E8_Hlth","E8_Pub","E_LowWageWk","E_MedWageWk","E_HiWageWk","E_PctLowWage","D1A","D1B","D1C","D1C5_RET","D1C5_OFF","D1C5_IND","D1C5_SVC","D1C5_ENT","D1C8_RET","D1C8_OFF","D1C8_IND","D1C8_SVC","D1C8_ENT","D1C8_ED","D1C8_HLTH","D1C8_PUB","D1D","D1_FLAG","D2A_JPHH","D2B_E5MIX","D2B_E5MIXA","D2B_E8MIX","D2B_E8MIXA","D2A_EPHHM","D2C_TRPMX1","D2C_TRPMX2","D2C_TRIPEQ","D2R_JOBPOP","D2R_WRKEMP","D2A_WRKEMP","D2C_WREMLX","D3A","D3AAO","D3AMM","D3APO","D3B","D3BAO","D3BMM3","D3BMM4","D3BPO3","D3BPO4","D4A","D4B025","D4B050","D4C","D4D","D4E","D5AR","D5AE","D5BR","D5BE","D5CR","D5CRI","D5CE","D5CEI","D5DR","D5DRI","D5DE","D5DEI","D2A_Ranked","D2B_Ranked","D3B_Ranked","D4A_Ranked","NatWalkInd","Shape_Length","Shape_Area"
"11","G55002109712002",539251203,"53925-1203",53925,"WI","G55002109712002",550219712002,"64","6",NA,"Match",213275,5.5022e+11,5.5022e+11,"55","021","971200",2,357,"Madison-Janesville-Beloit, WI",31540,"Madison, WI",647281,389187,345594,4206.427284,20.6553361,4185.771948,4086.006692,1301,664,602,0.596,2,0.003322259,269,0.446843854,331,0.549833887,878,211,302,365,0.240318907,1355,267,14,919,19,136,267,14,919,14,136,0,5,0,281,317,757,0.207380074,0.162505852,0.318403786,0.331619623,0.065344974,0.003426328,0.224913973,0.004650017,0.033284331,0.065344974,0.003426328,0.224913973,0.003426328,0.033284331,0,0.001223689,0,0.494125476,0,2.250830565,0.572385585,0.572385585,0.518652484,0.446899074,0.700438585,0.784598432,0.754579729,0.586626928,0.979668675,0.786386028,0.64797048,0.703259361,4.868341728,1.869483509,1.004162635,1.994695584,14.32509959,1.834787011,1.528989176,1.070292423,9.173935054,6.115956703,-99999,0,0,-99999,-99999,-99999,22699,22990,-99999,-99999,0.001454771,0.270271236,0.00184907,0.405317255,-99999,-99999,-99999,-99999,16,7,6,1,6.166666667,23431.38665,17023178.95
"12","G55002500002022",537054382,"53705-4382",53705,"WI","G55002500002022",550250002022,"46","3",NA,"Match",214132,5.5025e+11,5.5025e+11,"55","025","000202",2,357,"Madison-Janesville-Beloit, WI",31540,"Madison, WI",647281,389187,345594,261.3939937,0,261.3939937,242.14791,1992,995,975,0.607,33,0.033846154,436,0.447179487,506,0.518974359,987,229,251,507,0.232016211,471,13,33,6,340,79,13,32,6,5,79,273,62,1,132,129,210,0.280254777,4.109058798,8.226377011,1.945092155,0.053686195,0.136280342,0.024778244,1.404100494,0.326246879,0.053686195,0.132150635,0.024778244,0.020648537,0.326246879,1.127410102,0.256041855,0.004129707,6.054150953,0,0.483076923,0.544071242,0.544071242,0.616119624,0.616119624,0.511414786,0.59994336,0.665653481,0.777416538,0.382460414,0.646090535,2.095541401,0.334358536,19.44708208,0,3.173051958,16.27403012,124.9154946,0,4.896822539,9.793645079,134.6626198,22.03570143,92.54,0,0,4,9.793645079,0.002008032,52407,38940,104899,66949,0.003358747,0.623996857,0.003131917,0.686518221,0.007114179,0.724961298,0.007574153,0.707459343,10,12,16,20,15.66666667,4353.462105,1057849.372
"13","G55002500004061",537194107,"53719-4107",53719,"WI","G55002500004062",550250004062,"37","2",NA,"No",215748,5.5025e+11,5.5025e+11,"55","025","000406",1,357,"Madison-Janesville-Beloit, WI",31540,"Madison, WI",647281,389187,345594,791.4178104,0,791.4178104,772.00925,3425,1817,1790,0.644,141,0.07877095,892,0.498324022,757,0.422905028,2022,310,472,1240,0.153313551,1026,316,21,13,394,282,316,21,13,72,282,0,322,0,429,413,184,0.418128655,2.353598743,4.43647534,1.32899962,0.40932152,0.027201747,0.016839176,0.510356579,0.365280597,0.40932152,0.027201747,0.016839176,0.093263131,0.365280597,0,0.417093448,0,3.682598363,0,0.573184358,0.758136488,0.758136488,0.782907806,0.674595774,0.61416962,0.744847035,0.826931501,0.688975016,0.461019996,0.673228346,1.970760234,0.378794956,10.69974161,0.522313237,3.548625757,6.628802619,39.0994486,0.808675255,8.086752555,5.660726788,32.34701022,6.469402044,430.5,0,0,8.67,7.011214465,0.002531387,31490,26520,25670,17647,0.002018183,0.374943443,0.002132985,0.4675517,0.001740922,0.177406425,0.001996461,0.18647829,14,14,8,16,12.66666667,8328.084443,3202827.005
"14","G55002500005011",537113604,"53711-3604",53711,"WI","G55002500005011",550250005011,"38","2",NA,"Match",214142,5.5025e+11,5.5025e+11,"55","025","000501",1,357,"Madison-Janesville-Beloit, WI",31540,"Madison, WI",647281,389187,345594,357.1452437,1.0835335,356.0617102,340.31042,1651,810,724,0.569,23,0.031767956,186,0.256906077,515,0.711325967,1001,208,276,517,0.207792208,1562,108,522,693,227,12,108,522,693,108,12,0,119,0,90,265,1207,0.057618438,2.380179837,4.851452976,4.589927044,0.317357312,1.533893673,2.036376083,0.667038053,0.035261924,0.317357312,1.533893673,2.036376083,0.317357312,0.035261924,0,0.349680741,0,6.970106881,0,2.157458564,0.763790608,0.763790608,0.742195338,0.639515705,0.817249636,0.808150318,0.801068472,0.682682751,0.972300031,0.78111588,0.64084507,0.698266161,18.03787148,1.323583423,1.698373446,15.01591461,64.72945374,1.797441235,3.594882469,3.594882469,61.11300198,17.97441235,359.42,0,0,20.67,37.15311032,0.012519685,55664,44277,79927,52008,0.003567487,0.66277713,0.003561168,0.780610356,0.005420595,0.55237878,0.00588383,0.549575729,19,13,11,17,14.66666667,5118.475822,1445345.539
"15","G55002500006001",537116710,"53711-6710",53711,"WI","G55002500006001",550250006001,"50","4",NA,"Match",214151,5.5025e+11,5.5025e+11,"55","025","000600",1,357,"Madison-Janesville-Beloit, WI",31540,"Madison, WI",647281,389187,345594,232.8171258,0,232.8171258,207.2509,2440,890,833,0.499,37,0.044417767,389,0.466986795,407,0.488595438,818,253,300,265,0.309290954,574,335,43,13,169,14,335,43,13,147,14,0,22,0,213,228,133,0.371080139,4.29431187,11.77316962,2.769589903,1.616398288,0.207477989,0.062725904,0.815436748,0.067550973,1.616398288,0.207477989,0.062725904,0.709285219,0.067550973,0,0.106151529,0,7.063901773,0,0.68907563,0.649154192,0.649154192,0.646646294,0.557185473,0.615224027,0.672411247,0.743875133,0.73018702,0.380889184,0.824712644,1.425087108,0.653712839,28.35210956,4.674968088,6.198886488,17.47825498,106.3316967,5.497877339,27.48938669,2.748938669,90.71497609,24.74044802,236.04,0,0,8,21.99150935,0.003278689,61993,47689,79569,52200,0.00397311,0.738134927,0.003835593,0.840764444,0.005396315,0.549904628,0.005905552,0.55160462,14,10,15,19,15.33333333,5454.434082,942196.4742
"16","G55002500006002",537114489,"53711-4489",53711,"WI","G55002500006004",550250006004,"36","2",NA,"No",214155,5.5025e+11,5.5025e+11,"55","025","000600",2,357,"Madison-Janesville-Beloit, WI",31540,"Madison, WI",647281,389187,345594,143.9930772,1.7304413,142.2626359,138.85611,2289,915,782,0.586,75,0.095907928,307,0.39258312,400,0.511508951,1039,351,413,275,0.337824832,221,0,17,0,188,16,0,17,0,2,16,4,182,0,52,123,46,0.235294118,6.589555188,16.48469052,1.591575625,0,0.122428894,0,1.353919536,0.115227195,0,0.122428894,0,0.014403399,0.115227195,0.028806799,1.310709338,0,8.181130812,0,0.282608696,0.477841909,0.326177847,0.411619555,0.318583669,0.463831129,0.473637983,0.527292997,0.73353296,0.176095618,0.350793651,4.701357466,0.024689988,25.16531007,0,1.586901474,23.57840859,126.0046947,0,8.997443298,4.498721649,112.4680412,40.48849484,143.5,0,0,8,35.98977319,0.003494976,60010,47280,79785,52338,0.00384602,0.714523849,0.003802697,0.83355371,0.005410964,0.551397413,0.005921164,0.553062885,9,4,16,20,14.16666667,4429.656686,582732.6178
"17","G55002500014021",537134238,"53713-4238",53713,"WI","G55002500014021",550250014021,"13","1",NA,"Match",214106,5.5025e+11,5.5025e+11,"55","025","001402",1,357,"Madison-Janesville-Beloit, WI",31540,"Madison, WI",647281,389187,345594,1697.79,375.6330186,1322.156982,390.98637,1398,828,676,0.738,16,0.023668639,399,0.590236686,261,0.386094675,778,204,266,308,0.262210797,2113,247,478,464,778,146,247,370,464,735,146,0,43,108,519,628,966,0.245622338,2.117720881,3.575572212,5.404280461,0.631735577,1.222549011,1.186742136,1.989839185,0.373414552,0.631735577,0.946324548,1.186742136,1.879860927,0.373414552,0,0.109978258,0.276224463,7.522001342,0,3.125739645,0.914947768,0.914947768,0.859303705,0.804123496,0.931733385,0.75174544,0.791266737,0.446954026,0.796354315,0.538222068,0.368196876,0.531632337,9.570485008,2.30701005,0.90793968,6.355535278,28.57100974,2.904344986,4.840574976,1.936229991,30.01156485,3.388402483,411.72,0,0,31.33,15.1655214,0.022410587,69916,52318,38273,24246,0.004480892,0.832472079,0.0042079,0.922374429,0.002595649,0.264506275,0.002743027,0.256210836,20,19,7,16,14.16666667,13445.672,6870865.764
"18","G55002500107013",537115423,"53711-5423",53711,"WI","G55002500107013",550250107013,"24","1",NA,"Match",215507,5.5025e+11,5.5025e+11,"55","025","010701",3,357,"Madison-Janesville-Beloit, WI",31540,"Madison, WI",647281,389187,345594,1581.184251,0,1581.184251,1554.82657,1701,700,651,0.624,15,0.023041475,140,0.215053763,496,0.761904762,983,205,193,585,0.20854527,131,0,61,18,45,7,0,61,18,36,7,5,4,0,35,29,67,0.267175573,0.450210984,1.094012691,0.08425377,0,0.039232671,0.011576854,0.028942135,0.00450211,0,0.039232671,0.011576854,0.023153708,0.00450211,0.003215793,0.002572634,0,0.534464754,0,0.201228879,0.831144702,0.715909079,0.765337665,0.659456388,0.400728814,0.384226354,0.413303791,0.064607448,0.1430131,0.23518851,7.503816794,0.001497712,5.790712712,0,1.985272144,3.805440568,18.89540702,0,3.642839217,1.619039652,16.19039652,4.04759913,-99999,0,0,7.33,2.966890162,0.00430923,38853,32363,-99999,-99999,0.002490075,0.462612816,0.002602933,0.570564694,-99999,-99999,-99999,-99999,7,14,6,1,5.833333333,10082.15374,6398967.278
"19","G55002500107022",537114913,"53711-4913",53711,"WI","G55002500107022",550250107022,"33","2",NA,"Match",215532,5.5025e+11,5.5025e+11,"55","025","010702",2,357,"Madison-Janesville-Beloit, WI",31540,"Madison, WI",647281,389187,345594,7350.406111,19.226851,7331.17926,7331.17926,658,385,313,0.702,0,0,72,0.230031949,241,0.769968051,587,109,122,356,0.185689949,1801,28,173,1055,253,292,28,173,1055,201,292,35,17,0,321,460,1020,0.178234314,0.052515426,0.089753637,0.245663069,0.003819304,0.023597841,0.143905907,0.034510137,0.039829881,0.003819304,0.023597841,0.143905907,0.027417144,0.039829881,0.00477413,0.002318863,0,0.298178495,0,5.75399361,0.729291678,0.729291678,0.649236684,0.607545934,0.792122933,0.746811466,0.717287776,0.425546241,0.535176901,0.491624791,0.325930039,0.509630176,3.408280634,0.464816653,1.718062735,1.225401246,4.075175213,0.785685331,1.222177181,1.222177181,2.531652732,0.34919348,-99999,0,0,7.33,0.639897053,0.011139818,30250,24975,-99999,-99999,0.001938712,0.360179077,0.002008722,0.440313112,-99999,-99999,-99999,-99999,18,12,4,1,6.666666667,29512.91834,29746687.53
"20","G55002500110001",53562,"53562",53562,"WI","G55002500110001",550250110001,"28","1",NA,"Match",215447,5.5025e+11,5.5025e+11,"55","025","011000",1,357,"Madison-Janesville-Beloit, WI",31540,"Madison, WI",647281,389187,345594,344.8114943,0.7316631,344.0798312,344.07983,1888,965,886,0.584,44,0.0496614,379,0.427765237,463,0.522573363,1129,259,274,596,0.229406554,2146,282,560,127,714,463,282,209,127,319,463,200,195,351,774,700,672,0.360671016,2.804581716,5.487098735,6.236924728,0.819577248,1.627529286,0.369100392,2.075099839,1.345617963,0.819577248,0.60741718,0.369100392,0.927110432,1.345617963,0.581260459,0.566728948,1.020112106,9.041506443,0,2.422121896,0.920562522,0.920562522,0.966741295,0.966741295,0.92242748,0.774379397,0.848684058,0.446737965,0.936043629,0.689465649,0.526095061,0.622566431,17.84834898,0.394286855,2.609195844,14.84486628,77.52061464,1.860033463,14.8802677,3.720066926,42.78076965,35.3406358,523.04,0,0,12,22.32040156,0.006355932,41860,31403,143813,89512,0.002682793,0.498416403,0.002525721,0.553639745,0.0097533,0.993897551,0.010126777,0.945885685,20,20,12,15,15.66666667,7820.511094,1395434.88
